datetime;home_team;away_team;league;country;xgoals;details
2025-02-17T21:00:00+01:00;Leeds;Sunderland;Championship;England;4.0;Casa: 3.17 (generale: 2.60) | Trasferta: 1.40 (generale: 1.30) | Media campionato: 1.80
2025-02-17T20:00:00+01:00;Jong AZ;Jong PSV;Eerste Divisie;Netherlands;3.85;Casa: 2.02 (generale: 2.30) | Trasferta: 1.85 (generale: 1.20) | Media campionato: 1.60
2025-02-17T21:00:00+01:00;Barcelona;Rayo Vallecano;La Liga;Spain;3.12;Casa: 2.92 (generale: 2.60) | Trasferta: 0.65 (generale: 0.80) | Media campionato: 1.90
2025-02-17T20:45:00+01:00;Genoa;Venezia;Serie A;Italy;2.9;Casa: 1.30 (generale: 1.10) | Trasferta: 1.27 (generale: 0.80) | Media campionato: 0.95
2025-02-17T18:00:00+01:00;Sakaryaspor;Ankaragucu;1. Lig;Turkey;2.8;Casa: 1.52 (generale: 1.30) | Trasferta: 1.25 (generale: 1.00) | Media campionato: 1.25
2025-02-17T18:00:00+01:00;Rizespor;Galatasaray;Süper Lig;Turkey;2.67;Casa: 1.70 (generale: 1.40) | Trasferta: 1.38 (generale: 2.50) | Media campionato: 1.90
2025-02-17T18:00:00+01:00;Fatih Karagümrük;Şanlıurfaspor;1. Lig;Turkey;2.47;Casa: 1.52 (generale: 1.80) | Trasferta: 1.02 (generale: 0.80) | Media campionato: 1.40
2025-02-17T19:00:00+01:00;União de Leiria;Academico Viseu;Segunda Liga;Portugal;2.47;Casa: 0.72 (generale: 0.70) | Trasferta: 1.68 (generale: 1.60) | Media campionato: 1.35
2025-02-17T12:00:00+01:00;Bandırmaspor;İstanbulspor;1. Lig;Turkey;2.45;Casa: 1.48 (generale: 1.70) | Trasferta: 1.00 (generale: 1.00) | Media campionato: 1.40
2025-02-17T20:45:00+01:00;Annecy;Caen;Ligue 2;France;2.35;Casa: 0.95 (generale: 1.40) | Trasferta: 1.27 (generale: 0.80) | Media campionato: 1.05
2025-02-17T15:00:00+01:00;Adanaspor;Ümraniyespor;1. Lig;Turkey;2.15;Casa: 0.97 (generale: 1.20) | Trasferta: 1.00 (generale: 1.00) | Media campionato: 1.10
2025-02-17T20:30:00+01:00;Almeria;Elche;Segunda División;Spain;2.12;Casa: 1.35 (generale: 1.70) | Trasferta: 0.90 (generale: 0.80) | Media campionato: 1.50
2025-02-17T20:00:00+01:00;Jong Utrecht;VVV Venlo;Eerste Divisie;Netherlands;2.1;Casa: 0.45 (generale: 0.90) | Trasferta: 1.15 (generale: 1.30) | Media campionato: 0.90
2025-02-17T01:30:00+01:00;Talleres Cordoba;Atletico Tucuman;Liga Profesional Argentina;Argentina;2.1;Casa: 1.40 (generale: 1.30) | Trasferta: 0.68 (generale: 0.60) | Media campionato: 1.15
2025-02-17T21:00:00+01:00;Sarmiento Junin;Deportivo Riestra;Liga Profesional Argentina;Argentina;1.55;Casa: 0.68 (generale: 0.60) | Trasferta: 0.62 (generale: 0.50) | Media campionato: 0.85
2025-02-17T21:15:00+01:00;GIL Vicente;Famalicao;Primeira Liga;Portugal;1.5;Casa: 0.88 (generale: 1.50) | Trasferta: 0.75 (generale: 1.50) | Media campionato: 1.05
2025-02-17T01:30:00+01:00;Huracan;Union Santa Fe;Liga Profesional Argentina;Argentina;1.48;Casa: 0.62 (generale: 1.00) | Trasferta: 0.85 (generale: 0.70) | Media campionato: 1.00
2025-02-17T23:15:00+01:00;Platense;Independiente;Liga Profesional Argentina;Argentina;1.23;Casa: 0.55 (generale: 0.60) | Trasferta: 0.68 (generale: 0.60) | Media campionato: 0.80
2025-02-17T21:00:00+01:00;Gimnasia L.P.;San Martin S.J.;Liga Profesional Argentina;Argentina;0.55;Casa: 0.62 (generale: 1.00) | Trasferta: 0.00 (generale: 0.00) | Media campionato: 0.40
